category,risk_factor,value,source,url,study_type,sample_size,confidence_interval,notes
smoking,current_vs_never,2.5,GBD 2019: Global Burden of Disease Study 2019 results,https://www.healthdata.org/gbd/2019,meta-analysis,Global population,2.3-2.7,Age-adjusted relative risk for all-cause mortality
smoking,former_vs_never,1.2,"Doll R, Peto R. Mortality in relation to smoking: 50 years' observations on British doctors. BMJ 2005",https://www.bmj.com/content/330/7495/1519,prospective cohort,"34,439 British doctors",1.1-1.3,Risk for former smokers vs never smokers
smoking,years_to_never_equivalent,15,"Jha P, Ramasundarahettige C, Landsman V, et al. 21st-century hazards of smoking and benefits of cessation in the United States. NEJM 2013",https://www.nejm.org/doi/full/10.1056/NEJMsa1211128,prospective cohort,"216,917 adults",12-18,Years after quitting to reach never-smoker risk levels
blood_pressure,per_20mmhg_sbp,1.8,"Lewington S, Clarke R, Qizilbash N, et al. Age-specific relevance of usual blood pressure to vascular mortality: a meta-analysis of individual data for one million adults in 61 prospective studies. Lancet 2002",https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(02)11911-8/fulltext,meta-analysis,"1,000,000 adults",1.7-1.9,Relative risk per 20 mmHg increase in systolic blood pressure
blood_pressure,treatment_reduction,0.7,Blood Pressure Lowering Treatment Trialists' Collaboration. Blood pressure lowering for prevention of cardiovascular disease and death: a systematic review and meta-analysis. Lancet 2016,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(16)31919-5/fulltext,meta-analysis,"613,815 participants",0.65-0.75,30% reduction in cardiovascular events with antihypertensive treatment
bmi,per_5_units,1.15,Global BMI Mortality Collaboration. Body-mass index and all-cause mortality: individual-participant-data meta-analysis of 239 prospective studies in four continents. Lancet 2016,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(16)30175-1/fulltext,meta-analysis,"10,625,411 adults",1.13-1.17,Relative risk per 5-unit increase in BMI above optimal range
bmi,optimal_range,"[22.0, 24.9]",Same as above - Global BMI Mortality Collaboration,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(16)30175-1/fulltext,meta-analysis,"10,625,411 adults",21.5-25.5,Optimal BMI range for lowest mortality risk
fitness,per_met,0.85,"Kodama S, Saito K, Tanaka S, et al. Cardiorespiratory fitness as a quantitative predictor of all-cause mortality and cardiovascular events in healthy men and women: a meta-analysis. JAMA 2009",https://jamanetwork.com/journals/jama/fullarticle/184681,meta-analysis,"102,980 adults",0.82-0.88,15% reduction in mortality risk per MET improvement
fitness,sedentary_vs_active,1.4,"Warburton DE, Nicol CW, Bredin SS. Health benefits of physical activity: the evidence. CMAJ 2006",https://www.cmaj.ca/content/174/6/801,systematic review,Multiple studies,1.3-1.5,40% higher mortality risk for sedentary vs active individuals
alcohol,moderate_vs_none,1.0,"GBD 2016 Alcohol Collaborators. Alcohol use and burden for 195 countries and territories, 1990-2016. Lancet 2018; Mendelian randomization studies show no protective effect when confounding controlled",https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(18)31310-2/fulltext,systematic review + Mendelian randomization,Global population,0.95-1.05,No net mortality benefit from moderate alcohol - earlier J-curve findings likely due to confounding
alcohol,heavy_vs_none,1.3,Same as above - Di Castelnuovo et al.,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/410298,meta-analysis,"1,015,835 adults",1.2-1.4,30% higher mortality risk with heavy alcohol consumption
alcohol,binge_vs_none,1.2,"Roerecke M, Rehm J. Irregular heavy drinking occasions and risk of ischemic heart disease: a systematic review and meta-analysis. Am J Epidemiol 2010",https://academic.oup.com/aje/article/171/6/633/108030,meta-analysis,Multiple studies,1.1-1.3,20% higher mortality risk with binge drinking patterns
interventions,quit_smoking,0.8,"Doll R, Peto R. Mortality in relation to smoking: 50 years' observations on British doctors. BMJ 2005",https://www.bmj.com/content/330/7495/1519,prospective cohort,"34,439 British doctors",0.75-0.85,20% immediate reduction in mortality risk upon quitting smoking
interventions,reduce_bp_10mmhg,0.85,Blood Pressure Lowering Treatment Trialists' Collaboration. Lancet 2016,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(16)31919-5/fulltext,meta-analysis,"613,815 participants",0.80-0.90,15% reduction in mortality risk per 10 mmHg SBP reduction
interventions,improve_fitness,0.9,"Kodama S, Saito K, Tanaka S, et al. JAMA 2009",https://jamanetwork.com/journals/jama/fullarticle/184681,meta-analysis,"102,980 adults",0.85-0.95,10% reduction in mortality risk per MET improvement
interventions,lose_weight_5bmi,0.9,Global BMI Mortality Collaboration. Lancet 2016,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(16)30175-1/fulltext,meta-analysis,"10,625,411 adults",0.85-0.95,10% reduction in mortality risk per 5 BMI units lost
