age,male_qx,male_ex,female_qx,female_ex
0,0.006064,74.74,0.005119,80.18
1,0.000491,74.2,0.000398,79.6
2,0.000309,73.23,0.00024,78.63
3,0.000248,72.25,0.000198,77.65
4,0.000199,71.27,0.00016,76.66
5,0.000167,70.29,0.000134,75.67
6,0.000143,69.3,0.000118,74.68
7,0.000126,68.31,0.000109,73.69
8,0.000121,67.32,0.000106,72.7
9,0.000121,66.32,0.000106,71.71
10,0.000127,65.33,0.000111,70.72
11,0.000143,64.34,0.000121,69.72
12,0.000171,63.35,0.00014,68.73
13,0.000227,62.36,0.000162,67.74
14,0.00032,61.37,0.000188,66.75
15,0.000451,60.39,0.000224,65.76
16,0.000622,59.42,0.000276,64.78
17,0.000826,58.46,0.000337,63.8
18,0.001026,57.5,0.000395,62.82
19,0.001182,56.56,0.00045,61.84
20,0.001301,55.63,0.000496,60.87
21,0.001404,54.7,0.000532,59.9
22,0.001498,53.78,0.000567,58.93
23,0.001586,52.86,0.00061,57.97
24,0.001679,51.94,0.00065,57.0
25,0.001776,51.03,0.000699,56.04
26,0.001881,50.12,0.000743,55.08
27,0.001985,49.21,0.000796,54.12
28,0.002095,48.31,0.000855,53.16
29,0.002219,47.41,0.000924,52.2
30,0.002332,46.51,0.000988,51.25
31,0.002445,45.62,0.001053,50.3
32,0.002562,44.73,0.001123,49.35
33,0.002653,43.84,0.001198,48.41
34,0.002716,42.96,0.001263,47.47
35,0.002791,42.08,0.001324,46.53
36,0.002894,41.19,0.001403,45.59
37,0.002994,40.31,0.001493,44.65
38,0.003091,39.43,0.001596,43.72
39,0.003217,38.55,0.0017,42.79
40,0.003353,37.67,0.001803,41.86
41,0.003499,36.8,0.001905,40.93
42,0.003642,35.93,0.002009,40.01
43,0.003811,35.05,0.002116,39.09
44,0.003996,34.19,0.002223,38.17
45,0.004175,33.32,0.002352,37.25
46,0.004388,32.46,0.002516,36.34
47,0.004666,31.6,0.002712,35.43
48,0.004973,30.75,0.002936,34.53
49,0.005305,29.9,0.003177,33.63
50,0.005666,29.05,0.003407,32.73
51,0.006069,28.22,0.003642,31.84
52,0.006539,27.39,0.003917,30.96
53,0.007073,26.56,0.004238,30.08
54,0.007675,25.75,0.004619,29.2
55,0.008348,24.94,0.00504,28.34
56,0.009051,24.15,0.005493,27.48
57,0.009822,23.37,0.005987,26.63
58,0.010669,22.59,0.006509,25.78
59,0.011548,21.83,0.007067,24.95
60,0.012458,21.08,0.007658,24.12
61,0.013403,20.34,0.008305,23.31
62,0.01445,19.61,0.008991,22.5
63,0.015571,18.89,0.009681,21.7
64,0.016737,18.18,0.010343,20.9
65,0.017897,17.48,0.011018,20.12
66,0.019017,16.79,0.011743,19.34
67,0.020213,16.11,0.012532,18.56
68,0.021569,15.43,0.013512,17.79
69,0.023088,14.76,0.014684,17.03
70,0.024828,14.09,0.016025,16.27
71,0.026705,13.44,0.017468,15.53
72,0.028761,12.8,0.019195,14.8
73,0.031116,12.16,0.021195,14.08
74,0.033861,11.53,0.023452,13.37
75,0.037088,10.92,0.02598,12.68
76,0.041126,10.32,0.029153,12.0
77,0.045241,9.74,0.032394,11.35
78,0.049793,9.18,0.035888,10.71
79,0.054768,8.64,0.039676,10.09
80,0.06066,8.11,0.044156,9.49
81,0.067027,7.6,0.049087,8.9
82,0.073999,7.11,0.054635,8.34
83,0.081737,6.64,0.061066,7.79
84,0.090458,6.18,0.068431,7.26
85,0.100525,5.75,0.076841,6.76
86,0.111793,5.34,0.086205,6.28
87,0.124494,4.94,0.096851,5.83
88,0.138398,4.58,0.109019,5.4
89,0.153207,4.23,0.121867,5.0
90,0.169704,3.91,0.135805,4.62
91,0.187963,3.6,0.151108,4.27
92,0.208395,3.32,0.16802,3.94
93,0.230808,3.06,0.18634,3.64
94,0.253914,2.83,0.206432,3.36
95,0.277402,2.63,0.228086,3.1
96,0.300882,2.44,0.250406,2.87
97,0.324326,2.28,0.273699,2.66
98,0.347332,2.13,0.296984,2.47
99,0.36943,2.0,0.319502,2.3
100,0.391927,1.88,0.342716,2.14
101,0.414726,1.76,0.366532,2.0
102,0.437722,1.66,0.390844,1.87
103,0.4608,1.56,0.415531,1.75
104,0.48384,1.47,0.440463,1.63
105,0.508032,1.39,0.466891,1.52
106,0.533434,1.31,0.494904,1.42
107,0.560105,1.23,0.524599,1.32
108,0.588111,1.15,0.556075,1.23
109,0.617516,1.08,0.589439,1.14
110,0.648392,1.01,0.624805,1.05
111,0.680812,0.94,0.662294,0.97
112,0.714852,0.87,0.702031,0.89
113,0.750595,0.81,0.744153,0.82
114,0.788125,0.75,0.788125,0.75
115,0.827531,0.7,0.827531,0.7
116,0.868907,0.64,0.868907,0.64
117,0.912353,0.59,0.912353,0.59
118,0.95797,0.54,0.95797,0.54
119,1.0,0.5,1.0,0.5
